SampleID	RAS_WSC_03_1819_1
d:Archaea,p:Crenarchaeota,c:Nitrososphaeria,o:Nitrosopumilales,f:Nitrosopumilaceae 	 4
d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:Propionibacteriales,f:Propionibacteriaceae 	 2
d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:Flavobacteriaceae 	 1
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:Marinimicrobia_(SAR406_clade),o:Marinimicrobia_(SAR406_clade),f:Marinimicrobia_(SAR406_clade) 	 2
d:Bacteria,p:Myxococcota,c:Myxococcia,o:Myxococcales,f:Myxococcaceae 	 1
d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Pirellulales,f:Pirellulaceae 	 1
d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Planctomycetales,f:Gimesiaceae 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:AEGEAN-169_marine_group 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Magnetospiraceae 	 2
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:Clade_II 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudohongiellaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:SAR86_clade 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Thioglobaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:UBA10353_marine_group,f:UBA10353_marine_group 	 1
d:Bacteria,p:Verrucomicrobiota,c:Verrucomicrobiae,o:Opitutales,f:Puniceicoccaceae 	 1
d:Opisthokonta,k:Eukaryota,p:Fungi,c:Ascomycota,o:Pezizomycotina 	 2
d:Opisthokonta,k:Eukaryota,p:Metazoa,c:Mollusca,o:Gastropoda 	 1
d:Stramenopiles,k:Eukaryota,p:Ochrophyta,c:Bacillariophyta,o:Bacillariophyta_X 	 1
